"","WindowScaleSize","Latitude","Longitude","Agreement","Year1","Year2","Window","site","Difference"
"192","11.25 km",13.348441,39.236951,0.5,2002,2009,"Early Window","AdekeAla",-0.5
"193","11.25 km",13.308802,39.229,1,2004,2009,"Early Window","AdisAlemS",0
"194","11.25 km",13.3,39.2,1,2004,2009,"Early Window","AmdiWeyane",0
"195","11.25 km",13.28738,39.177571,1,2004,2009,"Early Window","HintsaWaza",0
"196","11.25 km",13.254226,39.242201,1,2004,2009,"Early Window","MayTeklia",0
"197","11.25 km",13.237814,39.187599,0,2006,2009,"Early Window","MetkelLemat",-0.5
"198","11.25 km",13.43246667,38.96085,0,2009,2011,"Early Window","Gera",0
"199","11.25 km",13.4,39,0,2009,2011,"Early Window","ImbaRufael",0
"200","11.25 km",13.24661667,39.04156667,0,2004,2009,"Early Window","Lemlem",0
"201","11.25 km",13.19138333,38.99416667,0,2004,2009,"Early Window","Mearey",0
"202","11.25 km",14.1,39.2,0,2009,2011,"Early Window","AdisAlemW",0
"203","11.25 km",14.06666667,39.02396667,0,2005,2009,"Early Window","Endachiwa",0
"204","11.25 km",14,39.1,0.5,2005,2009,"Early Window","Endagahamus",0
"205","11.25 km",14,39.1,0.5,2005,2009,"Early Window","Maekelawi",0
"206","11.25 km",13.9,38.9,0.5,2002,2009,"Early Window","MaekelSegli",0
"207","11.25 km",14,39,0,2009,2012,"Early Window","Selam",0
"208","15 km",14.1509,38.8504,0,2009,2011,"Early Window","Bethans",-0.5
"209","15 km",14.107,38.963,0,2009,2011,"Early Window","DebreGenetA",0
"210","15 km",14.158,38.961,0,2009,2011,"Early Window","EndaBagerima",0
"211","15 km",14.23,39.015,0,2002,2009,"Early Window","Gendebta",0
"212","15 km",14.0524,38.9571,0,2009,2012,"Early Window","MariamShewito",0
"213","15 km",14.204,38.8843,0.5,2003,2009,"Early Window","Seloda",0
"214","15 km",14.0784,38.9704,0,2009,2011,"Early Window","TahtayLegomti",0
"215","15 km",14.2475,38.878,0.5,2003,2009,"Early Window","Wedikeshi",0
"216","15 km",14.19138333,39.07198333,0.5,2002,2009,"Early Window","Adiyikoro",0
"217","15 km",14.2262,39.08181667,0.5,2002,2009,"Early Window","Adizata",0
"218","15 km",14.36085,39.10301667,0.5,2009,2010,"Early Window","Betgebez",0
"219","15 km",14.27076667,39.08091,0,2002,2009,"Early Window","LaelayMegariaTsemri",0
"220","15 km",14.2793,39.17853333,0,2009,2010,"Early Window","Maysuru",0
"221","15 km",14.32078333,39.22411667,0,2009,2010,"Early Window","Sero",0
"222","15 km",14.21841667,39.11961667,0.5,2002,2009,"Early Window","TahtayDaeroka",0
"223","15 km",14.30111667,39.07828333,0,2009,2010,"Early Window","TahtayMegariaTsebri",0
"224","15 km",12.527198,39.651575,0,2008,2009,"Early Window","Gerjale",0
"225","15 km",12.447477,39.65574,0,2008,2009,"Early Window","KuluGizeLemlem",0
"226","15 km",12.466214,39.650299,0,2008,2009,"Early Window","LaelayDayu",0
"227","15 km",12.398839,39.657985,0.5,2008,2009,"Early Window","Limaat",0
"228","15 km",12.414739,39.659153,0.5,2008,2009,"Early Window","SelamBekalsi",0
"229","15 km",12.358934,39.657374,0.5,2008,2009,"Early Window","SelenWuha",0
"230","15 km",13.81893333,39.72011667,0.5,2002,2008,"Early Window","BarkaAdiswha",0
"231","15 km",13.9,39.742,0,2008,2009,"Early Window","FelegeWayane",0
"232","15 km",13.87976667,39.73488333,0.5,2002,2008,"Early Window","Golgolemalee",0
"233","15 km",13.81136667,39.6867,0.5,2002,2008,"Early Window","Habees",0
"234","15 km",13.94443333,39.72905,0.5,2002,2008,"Early Window","RubaFelege",0
"235","15 km",13.8,39.5,0.5,2002,2011,"Early Window","AbrahaAtsbaha",0
"236","15 km",13.82423333,39.61081667,0.5,2002,2011,"Early Window","AdiKisandid",0
"237","15 km",13.75331667,39.54968333,0.5,2002,2011,"Early Window","Aynalem",0
"238","15 km",13.78058333,39.58768333,0.5,2002,2011,"Early Window","Genfel",0
"239","15 km",13.69048333,39.55716667,0,2008,2011,"Early Window","MahbereWeyane",0
"240","15 km",13.87613333,39.59755,0,2005,2011,"Early Window","Nagash",0
"241","15 km",13.733,39.087,0.5,2004,2009,"Early Window","AdiHa",0
"242","15 km",13.7,38.9,0,2003,2009,"Early Window","Atakilti",0
"243","15 km",13.744,39.136,0.5,2009,2010,"Early Window","AwetBikalsi",0
"244","15 km",13.62643333,38.92838333,0,2002,2009,"Early Window","Begashek",0
"245","15 km",13.6,39,0,2009,2012,"Early Window","DebreGenetK",0
"246","15 km",13.69308333,38.89091667,0,2003,2009,"Early Window","Menji",0
"247","15 km",12.42191667,39.67775,0.5,2008,2009,"Early Window","AdisKigni",0
"248","15 km",12.43026667,39.742,0,2008,2009,"Early Window","Bala",0
"249","15 km",12.86883333,39.67121667,0,2008,2009,"Early Window","Ebo",0
"250","15 km",12.8383,39.716,0,2008,2009,"Early Window","Hawelti",0
"251","15 km",12.5342,39.73416667,0,2008,2009,"Early Window","Korme",0
"252","15 km",12.76645,39.811,0,2008,2009,"Early Window","Mechare",0
"253","15 km",12.79798333,39.65126667,0,2008,2009,"Early Window","Tsigea",0
"254","15 km",12.44273333,39.80076667,0,2008,2009,"Early Window","Ulaga",0
"255","15 km",14.2107,39.61543333,0.5,2002,2006,"Early Window","Asmena",0.5
"256","15 km",14.01175,39.59356667,0.5,2002,2004,"Early Window","GuemseAgamet",0
"257","15 km",14.127,39.583,0.5,2004,2006,"Early Window","HadushAdi",0
"258","15 km",14.2,39.6,0.5,2002,2006,"Early Window","HadushHiwet",0.5
"259","15 km",13.96051667,39.59608333,0,2005,2009,"Early Window","Sendada",-0.5
"260","15 km",14.01175,39.59356667,0.5,2002,2004,"Early Window","Sinkata",0
"261","15 km",13.348441,39.236951,0.5,2002,2009,"Early Window","AdekeAla",-0.5
"262","15 km",13.308802,39.229,1,2004,2009,"Early Window","AdisAlemS",0
"263","15 km",13.3,39.2,1,2004,2009,"Early Window","AmdiWeyane",0
"264","15 km",13.28738,39.177571,1,2004,2009,"Early Window","HintsaWaza",0
"265","15 km",13.254226,39.242201,1,2004,2009,"Early Window","MayTeklia",0
"266","15 km",13.237814,39.187599,0.5,2004,2009,"Early Window","MetkelLemat",0
"267","15 km",13.43246667,38.96085,0,2009,2011,"Early Window","Gera",0
"268","15 km",13.4,39,0,2009,2011,"Early Window","ImbaRufael",0
"269","15 km",13.24661667,39.04156667,0,2004,2009,"Early Window","Lemlem",0
"270","15 km",13.19138333,38.99416667,0,2004,2009,"Early Window","Mearey",0
"271","15 km",14.1,39.2,0,2009,2011,"Early Window","AdisAlemW",0
"272","15 km",14.06666667,39.02396667,0,2005,2009,"Early Window","Endachiwa",0
"273","15 km",14,39.1,0.5,2005,2009,"Early Window","Endagahamus",0
"274","15 km",14,39.1,0.5,2005,2009,"Early Window","Maekelawi",0
"275","15 km",13.9,38.9,0.5,2002,2009,"Early Window","MaekelSegli",0
"276","15 km",14,39,0,2009,2012,"Early Window","Selam",0
"277","3.75 km",14.1509,38.8504,0.5,2008,2009,"Late Window","Bethans",0
"278","3.75 km",14.107,38.963,1,2004,2009,"Late Window","DebreGenetA",0
"279","3.75 km",14.158,38.961,0.5,2008,2009,"Late Window","EndaBagerima",0
"280","3.75 km",14.23,39.015,0.5,2008,2009,"Late Window","Gendebta",0
"281","3.75 km",14.0524,38.9571,1,2004,2009,"Late Window","MariamShewito",0
"282","3.75 km",14.204,38.8843,0.5,2009,2011,"Late Window","Seloda",0
"283","3.75 km",14.0784,38.9704,1,2004,2009,"Late Window","TahtayLegomti",0
